                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.77338,                0.52605,                  0.865,                0.99102,                0.96644,                0.98942,                0.90323,                0.46834,                0.33319,                0.79781,             0.00066433,             0.00066433,             0.00066433
                      1,                0.66945,                0.35185,                0.83397,                  0.986,                0.96367,                0.98412,                0.89167,                0.47304,                0.37422,                0.79727,              0.0012981,              0.0012981,              0.0012981
                      2,                0.67339,                0.35545,                0.83686,                0.99054,                0.96731,                0.99213,                0.89659,                0.49643,                0.34954,                0.79859,              0.0018988,              0.0018988,              0.0018988
                      3,                 0.6673,                0.35299,                0.83678,                0.99368,                 0.9686,                0.98896,                0.90045,                0.48195,                0.33395,                0.79613,              0.0018515,              0.0018515,              0.0018515
                      4,                0.67051,                0.35698,                0.83826,                  0.989,                0.96852,                0.99137,                0.90269,                0.48659,                 0.3443,                0.79713,              0.0018515,              0.0018515,              0.0018515
                      5,                0.67717,                0.35566,                0.83621,                0.99368,                0.96745,                0.98694,                0.89658,                0.48568,                0.34035,                0.79797,               0.001802,               0.001802,               0.001802
                      6,                 0.6613,                0.34868,                 0.8341,                0.98005,                0.97445,                 0.9918,                0.90518,                0.47243,                0.34029,                0.79715,              0.0017525,              0.0017525,              0.0017525
                      7,                0.66683,                0.34891,                0.83596,                0.98155,                0.96552,                0.98512,                0.90328,                0.47259,                 0.3534,                  0.796,               0.001703,               0.001703,               0.001703
                      8,                0.65917,                0.34398,                0.83388,                0.98165,                0.97169,                0.99223,                0.90504,                0.47273,                0.36022,                0.79573,              0.0016535,              0.0016535,              0.0016535
                      9,                0.65766,                0.34311,                0.83388,                0.97673,                0.96925,                0.98758,                0.90537,                0.46586,                0.37155,                0.79532,               0.001604,               0.001604,               0.001604
                     10,                0.64929,                0.33914,                0.83302,                0.99149,                0.96837,                0.98606,                0.90748,                 0.4623,                0.30719,                0.79551,              0.0015545,              0.0015545,              0.0015545
                     11,                0.65505,                0.34188,                0.83233,                0.98833,                0.96455,                0.98838,                0.91287,                 0.4564,                0.34127,                 0.7942,               0.001505,               0.001505,               0.001505
                     12,                0.64537,                0.33421,                0.83106,                 0.9813,                0.96918,                0.98737,                0.90723,                0.45831,                 0.3161,                0.79286,              0.0014555,              0.0014555,              0.0014555
                     13,                0.64161,                0.33303,                0.83205,                0.98372,                0.97044,                0.99146,                0.91096,                0.45294,                0.32759,                0.79113,               0.001406,               0.001406,               0.001406
                     14,                0.64352,                 0.3316,                0.83223,                0.98046,                0.96182,                0.98789,                 0.9075,                0.46256,                0.33381,                0.79173,              0.0013565,              0.0013565,              0.0013565
                     15,                0.64149,                0.33233,                0.83187,                0.99148,                0.96767,                0.98751,                 0.9102,                 0.4537,                0.32461,                0.79271,               0.001307,               0.001307,               0.001307
                     16,                0.63728,                 0.3306,                0.82992,                0.99307,                0.97064,                 0.9883,                0.90758,                0.46265,                0.31122,                0.79137,              0.0012575,              0.0012575,              0.0012575
                     17,                0.63339,                 0.3253,                0.82984,                0.99556,                0.96611,                0.99284,                0.91135,                0.45811,                0.29503,                0.78999,               0.001208,               0.001208,               0.001208
                     18,                0.63533,                0.32764,                0.83005,                0.98766,                 0.9689,                 0.9882,                 0.9085,                0.45007,                0.33181,                0.79089,              0.0011585,              0.0011585,              0.0011585
