                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5412,                0.88034,                0.93904,                0.91846,                0.92503,                 0.9617,                0.52164,                 1.5195,                0.68519,                0.95346,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.5263,                0.89057,                0.93007,                0.90081,                0.95169,                0.96836,                0.53614,                  1.486,                0.67286,                0.94023,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.5727,                0.95948,                0.93299,                 0.9092,                0.91787,                0.95884,                0.54441,                 1.4748,                0.69351,                0.93491,               0.001307,               0.001307,               0.001307
                     37,                 1.5382,                0.88682,                0.92451,                 0.9133,                0.91601,                0.95146,                0.52476,                 1.5392,                 0.7373,                0.95332,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.4925,                0.85062,                0.92378,                0.89677,                0.90821,                0.96271,                 0.5338,                 1.4944,                0.71358,                0.94332,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.5153,                0.88422,                0.93161,                0.92634,                0.89855,                0.96344,                0.54088,                  1.466,                0.68388,                0.94467,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.4665,                0.89744,                0.91938,                0.93372,                0.90821,                0.96597,                 0.5369,                 1.4876,                0.66788,                0.94609,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.4759,                0.82642,                0.93487,                0.91473,                0.92754,                0.96893,                0.55057,                 1.4732,                0.68901,                0.94232,               0.001208,               0.001208,               0.001208
                     42,                 1.4857,                0.86682,                0.93854,                 0.9166,                0.95567,                0.96446,                0.54043,                 1.4745,                0.69298,                0.94003,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.3898,                0.81257,                0.91759,                0.88407,                0.97585,                0.96571,                0.54206,                 1.4959,                0.68283,                0.94464,              0.0011684,              0.0011684,              0.0011684
