                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.84004,                0.60033,                0.88773,                0.98554,                0.96921,                0.98216,                0.89274,                0.49908,                0.37652,                0.80611,             0.00066433,             0.00066433,             0.00066433
                      1,                0.70591,                 0.3792,                0.84157,                0.97276,                0.97568,                0.98417,                0.88725,                0.50957,                0.41139,                0.80409,              0.0012871,              0.0012871,              0.0012871
                      2,                0.71268,                0.38226,                0.84529,                0.98993,                0.96822,                0.98968,                0.89509,                0.49113,                0.37198,                0.79776,              0.0018658,              0.0018658,              0.0018658
                      3,                0.69795,                0.37543,                0.84358,                0.96568,                0.97568,                0.98979,                0.89824,                0.49971,                0.39401,                0.80186,               0.001802,               0.001802,               0.001802
                      4,                  0.703,                 0.3773,                0.84566,                0.97838,                 0.9649,                0.98882,                0.89472,                0.49722,                 0.4111,                0.80033,               0.001802,               0.001802,               0.001802
                      5,                0.70306,                0.37084,                0.84223,                0.97837,                0.97493,                0.99138,                0.89087,                0.49966,                0.36097,                0.80069,               0.001736,               0.001736,               0.001736
                      6,                0.68571,                0.36602,                0.83935,                0.97902,                 0.9766,                 0.9917,                0.90231,                0.47297,                0.37603,                0.79705,                0.00167,                0.00167,                0.00167
                      7,                0.69216,                0.36785,                0.84226,                0.97025,                0.98183,                0.99024,                0.90268,                0.46719,                0.36253,                0.79527,               0.001604,               0.001604,               0.001604
                      8,                0.68531,                0.36268,                 0.8401,                0.97999,                0.96525,                0.98633,                0.89495,                0.47842,                0.39075,                 0.7984,               0.001538,               0.001538,               0.001538
                      9,                0.68245,                0.35779,                0.83914,                 0.9755,                0.96921,                0.99062,                0.90457,                0.46475,                0.38088,                0.79469,               0.001472,               0.001472,               0.001472
                     10,                0.66889,                0.35179,                0.83727,                0.98066,                0.96777,                0.98759,                0.91158,                0.45303,                0.36247,                0.79131,               0.001406,               0.001406,               0.001406
                     11,                0.67541,                0.35365,                0.83725,                0.98774,                 0.9674,                0.98693,                0.90802,                0.46014,                0.35042,                0.79326,                0.00134,                0.00134,                0.00134
                     12,                0.66886,                0.34857,                0.83617,                0.98923,                0.96459,                0.98678,                 0.9107,                0.46085,                0.35498,                0.79289,               0.001274,               0.001274,               0.001274
                     13,                0.66205,                0.34526,                0.83702,                0.97217,                0.97888,                0.98871,                0.91119,                0.45221,                0.34439,                0.79101,               0.001208,               0.001208,               0.001208
                     14,                0.66013,                0.34183,                0.83613,                 0.9805,                 0.9753,                0.98993,                 0.9116,                0.45766,                0.33747,                0.79173,               0.001142,               0.001142,               0.001142
                     15,                0.65796,                0.33978,                0.83601,                 0.9905,                0.96983,                0.98843,                0.91526,                0.45037,                0.32332,                0.79203,               0.001076,               0.001076,               0.001076
