                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.3569,                 10.761,                 1.4345,                0.01577,                0.18519,                0.00839,                0.00345,                 2.7254,                 5.2891,                  1.827,                0.00034,                0.00034,                0.00034
                      1,                   2.67,                 5.2748,                 1.2415,                0.11193,                0.16828,                0.09085,                0.03748,                 2.6915,                  3.937,                 1.8552,               0.000469,               0.000469,               0.000469
                      2,                 2.2823,                 3.4497,                 1.1667,                0.27513,                0.22222,                0.21845,                0.10344,                 2.0034,                 3.5527,                 1.5404,              0.0003604,              0.0003604,              0.0003604
