                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7561,                  1.326,                 0.8455,                0.55042,                0.49889,                0.54868,                 0.2321,                 1.7512,                 0.9354,                0.80616,             0.00065778,             0.00065778,             0.00065778
                      1,                  1.499,                0.66199,                0.80041,                0.64993,                0.56145,                0.62174,                0.24768,                 1.7314,                0.98288,                0.80325,              0.0012917,              0.0012917,              0.0012917
                      2,                 1.4503,                 0.6256,                0.79413,                0.68265,                0.52795,                0.63213,                0.26449,                 1.7261,                0.95158,                0.80206,              0.0018926,              0.0018926,              0.0018926
                      3,                 1.4264,                0.60365,                0.79387,                0.60985,                0.59051,                0.63825,                0.26746,                 1.7437,                0.89587,                0.79904,              0.0018515,              0.0018515,              0.0018515
                      4,                 1.4118,                0.59505,                0.79002,                0.65621,                0.56949,                0.63207,                0.26742,                 1.6985,                0.89939,                0.79553,              0.0018515,              0.0018515,              0.0018515
                      5,                 1.4178,                0.59323,                0.79066,                0.66417,                0.55322,                0.62831,                0.26405,                 1.7502,                0.94628,                 0.8005,               0.001802,               0.001802,               0.001802
                      6,                  1.387,                0.58232,                 0.7937,                0.65398,                0.55568,                0.63934,                0.28505,                  1.633,                 0.9333,                0.79709,              0.0017525,              0.0017525,              0.0017525
                      7,                 1.4179,                0.59146,                0.79079,                0.66022,                0.61809,                0.65045,                0.27605,                 1.7106,                0.93869,                0.79754,               0.001703,               0.001703,               0.001703
                      8,                 1.3592,                0.57756,                0.79159,                0.68704,                0.59161,                0.65987,                0.27564,                 1.7421,                0.88762,                0.79956,              0.0016535,              0.0016535,              0.0016535
                      9,                 1.3571,                0.57617,                0.79262,                0.61316,                0.62866,                  0.662,                0.28275,                  1.687,                0.90558,                0.79846,               0.001604,               0.001604,               0.001604
                     10,                 1.3775,                0.58136,                0.78909,                0.73447,                0.56233,                0.67959,                0.28962,                 1.6492,                0.85955,                0.79371,              0.0015545,              0.0015545,              0.0015545
                     11,                 1.3531,                0.56736,                0.78963,                0.72015,                0.59766,                0.65861,                0.28543,                 1.6585,                0.93047,                0.79614,               0.001505,               0.001505,               0.001505
                     12,                 1.3466,                0.56619,                0.79108,                 0.6127,                0.58474,                0.61426,                0.25205,                 1.6936,                0.96362,                0.79596,              0.0014555,              0.0014555,              0.0014555
                     13,                  1.354,                0.57058,                  0.788,                0.75364,                 0.5772,                0.68895,                0.29316,                  1.692,                0.91184,                0.79876,               0.001406,               0.001406,               0.001406
                     14,                 1.3365,                0.55718,                0.78807,                0.71224,                0.56608,                0.65626,                0.29553,                 1.6006,                0.91772,                0.79284,              0.0013565,              0.0013565,              0.0013565
                     15,                 1.3246,                0.55263,                0.79042,                 0.7094,                0.58518,                 0.6627,                0.28371,                 1.7089,                 0.9194,                0.79736,               0.001307,               0.001307,               0.001307
                     16,                 1.3356,                0.55885,                0.78641,                 0.6822,                0.59762,                0.63613,                0.26676,                 1.6632,                0.96393,                0.79555,              0.0012575,              0.0012575,              0.0012575
